static 'static'	 [StartOfLine]	Loc=<./tmp/code_8.c:1:1>
int 'int'	 [LeadingSpace]	Loc=<./tmp/code_8.c:1:8>
identifier 'ppc_hash64_pte_prot'	 [LeadingSpace]	Loc=<./tmp/code_8.c:1:12>
l_paren '('		Loc=<./tmp/code_8.c:1:31>
identifier 'PowerPCCPU'		Loc=<./tmp/code_8.c:1:32>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_8.c:1:43>
identifier 'cpu'		Loc=<./tmp/code_8.c:1:44>
comma ','		Loc=<./tmp/code_8.c:1:47>
identifier 'ppc_slb_t'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_8.c:3:32>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_8.c:3:42>
identifier 'slb'		Loc=<./tmp/code_8.c:3:43>
comma ','		Loc=<./tmp/code_8.c:3:46>
identifier 'ppc_hash_pte64_t'	 [LeadingSpace]	Loc=<./tmp/code_8.c:3:48>
identifier 'pte'	 [LeadingSpace]	Loc=<./tmp/code_8.c:3:65>
r_paren ')'		Loc=<./tmp/code_8.c:3:68>
l_brace '{'	 [StartOfLine]	Loc=<./tmp/code_8.c:5:1>
identifier 'CPUPPCState'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_8.c:7:5>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_8.c:7:17>
identifier 'env'		Loc=<./tmp/code_8.c:7:18>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_8.c:7:22>
amp '&'	 [LeadingSpace]	Loc=<./tmp/code_8.c:7:24>
identifier 'cpu'		Loc=<./tmp/code_8.c:7:25>
arrow '->'		Loc=<./tmp/code_8.c:7:28>
identifier 'env'		Loc=<./tmp/code_8.c:7:30>
semi ';'		Loc=<./tmp/code_8.c:7:33>
unsigned 'unsigned'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_8.c:9:5>
identifier 'pp'	 [LeadingSpace]	Loc=<./tmp/code_8.c:9:14>
comma ','		Loc=<./tmp/code_8.c:9:16>
identifier 'key'	 [LeadingSpace]	Loc=<./tmp/code_8.c:9:18>
semi ';'		Loc=<./tmp/code_8.c:9:21>
int 'int'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_8.c:15:5>
identifier 'prot'	 [LeadingSpace]	Loc=<./tmp/code_8.c:15:9>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_8.c:15:14>
numeric_constant '0'	 [LeadingSpace]	Loc=<./tmp/code_8.c:15:16>
semi ';'		Loc=<./tmp/code_8.c:15:17>
identifier 'key'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_8.c:19:5>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_8.c:19:9>
exclaim '!'	 [LeadingSpace]	Loc=<./tmp/code_8.c:19:11>
