static 'static'	 [StartOfLine]	Loc=<./data/output/code_11000.c:1:1>
int 'int'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:1:8>
identifier 'rtp_write_packet'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:1:12>
l_paren '('		Loc=<./data/output/code_11000.c:1:28>
identifier 'AVFormatContext'		Loc=<./data/output/code_11000.c:1:29>
star '*'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:1:45>
identifier 's1'		Loc=<./data/output/code_11000.c:1:46>
comma ','		Loc=<./data/output/code_11000.c:1:48>
identifier 'AVPacket'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:1:50>
star '*'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:1:59>
identifier 'pkt'		Loc=<./data/output/code_11000.c:1:60>
r_paren ')'		Loc=<./data/output/code_11000.c:1:63>
l_brace '{'	 [StartOfLine]	Loc=<./data/output/code_11000.c:3:1>
identifier 'RTPMuxContext'	 [StartOfLine] [LeadingSpace]	Loc=<./data/output/code_11000.c:5:5>
star '*'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:5:19>
identifier 's'		Loc=<./data/output/code_11000.c:5:20>
equal '='	 [LeadingSpace]	Loc=<./data/output/code_11000.c:5:22>
identifier 's1'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:5:24>
arrow '->'		Loc=<./data/output/code_11000.c:5:26>
identifier 'priv_data'		Loc=<./data/output/code_11000.c:5:28>
semi ';'		Loc=<./data/output/code_11000.c:5:37>
identifier 'AVStream'	 [StartOfLine] [LeadingSpace]	Loc=<./data/output/code_11000.c:7:5>
star '*'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:7:14>
identifier 'st'		Loc=<./data/output/code_11000.c:7:15>
equal '='	 [LeadingSpace]	Loc=<./data/output/code_11000.c:7:18>
identifier 's1'	 [LeadingSpace]	Loc=<./data/output/code_11000.c:7:20>
arrow '->'		Loc=<./data/output/code_11000.c:7:22>
