static 'static'	 [StartOfLine]	Loc=<./tmp/code_0.c:1:1>
identifier 'av_cold'	 [LeadingSpace]	Loc=<./tmp/code_0.c:1:8>
int 'int'	 [LeadingSpace]	Loc=<./tmp/code_0.c:1:16>
identifier 'vdadec_init'	 [LeadingSpace]	Loc=<./tmp/code_0.c:1:20>
l_paren '('		Loc=<./tmp/code_0.c:1:31>
identifier 'AVCodecContext'		Loc=<./tmp/code_0.c:1:32>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_0.c:1:47>
identifier 'avctx'		Loc=<./tmp/code_0.c:1:48>
r_paren ')'		Loc=<./tmp/code_0.c:1:53>
l_brace '{'	 [StartOfLine]	Loc=<./tmp/code_0.c:3:1>
identifier 'VDADecoderContext'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:5:5>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_0.c:5:23>
identifier 'ctx'		Loc=<./tmp/code_0.c:5:24>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:5:28>
identifier 'avctx'	 [LeadingSpace]	Loc=<./tmp/code_0.c:5:30>
arrow '->'		Loc=<./tmp/code_0.c:5:35>
identifier 'priv_data'		Loc=<./tmp/code_0.c:5:37>
semi ';'		Loc=<./tmp/code_0.c:5:46>
struct 'struct'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:7:5>
identifier 'vda_context'	 [LeadingSpace]	Loc=<./tmp/code_0.c:7:12>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_0.c:7:24>
identifier 'vda_ctx'		Loc=<./tmp/code_0.c:7:25>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:7:33>
amp '&'	 [LeadingSpace]	Loc=<./tmp/code_0.c:7:35>
identifier 'ctx'		Loc=<./tmp/code_0.c:7:36>
arrow '->'		Loc=<./tmp/code_0.c:7:39>
identifier 'vda_ctx'		Loc=<./tmp/code_0.c:7:41>
semi ';'		Loc=<./tmp/code_0.c:7:48>
identifier 'OSStatus'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:9:5>
identifier 'status'	 [LeadingSpace]	Loc=<./tmp/code_0.c:9:14>
semi ';'		Loc=<./tmp/code_0.c:9:20>
int 'int'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:11:5>
identifier 'ret'	 [LeadingSpace]	Loc=<./tmp/code_0.c:11:9>
semi ';'		Loc=<./tmp/code_0.c:11:12>
identifier 'ctx'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:15:5>
arrow '->'		Loc=<./tmp/code_0.c:15:8>
identifier 'h264_initialized'		Loc=<./tmp/code_0.c:15:10>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:15:27>
numeric_constant '0'	 [LeadingSpace]	Loc=<./tmp/code_0.c:15:29>
semi ';'		Loc=<./tmp/code_0.c:15:30>
if 'if'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:21:5>
l_paren '('	 [LeadingSpace]	Loc=<./tmp/code_0.c:21:8>
exclaim '!'		Loc=<./tmp/code_0.c:21:9>
identifier 'ff_h264_vda_decoder'		Loc=<./tmp/code_0.c:21:10>
period '.'		Loc=<./tmp/code_0.c:21:29>
identifier 'pix_fmts'		Loc=<./tmp/code_0.c:21:30>
r_paren ')'		Loc=<./tmp/code_0.c:21:38>
l_brace '{'	 [LeadingSpace]	Loc=<./tmp/code_0.c:21:40>
if 'if'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:23:9>
l_paren '('	 [LeadingSpace]	Loc=<./tmp/code_0.c:23:12>
identifier 'kCFCoreFoundationVersionNumber'		Loc=<./tmp/code_0.c:23:13>
less '<'	 [LeadingSpace]	Loc=<./tmp/code_0.c:23:44>
identifier 'kCFCoreFoundationVersionNumber10_7'	 [LeadingSpace]	Loc=<./tmp/code_0.c:23:46>
r_paren ')'		Loc=<./tmp/code_0.c:23:80>
identifier 'ff_h264_vda_decoder'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:25:13>
period '.'		Loc=<./tmp/code_0.c:25:32>
identifier 'pix_fmts'		Loc=<./tmp/code_0.c:25:33>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:25:42>
identifier 'vda_pixfmts_prior_10_7'	 [LeadingSpace]	Loc=<./tmp/code_0.c:25:44>
semi ';'		Loc=<./tmp/code_0.c:25:66>
else 'else'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:27:9>
identifier 'ff_h264_vda_decoder'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:29:13>
period '.'		Loc=<./tmp/code_0.c:29:32>
identifier 'pix_fmts'		Loc=<./tmp/code_0.c:29:33>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:29:42>
identifier 'vda_pixfmts'	 [LeadingSpace]	Loc=<./tmp/code_0.c:29:44>
semi ';'		Loc=<./tmp/code_0.c:29:55>
r_brace '}'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:31:5>
identifier 'memset'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:37:5>
l_paren '('		Loc=<./tmp/code_0.c:37:11>
identifier 'vda_ctx'		Loc=<./tmp/code_0.c:37:12>
comma ','		Loc=<./tmp/code_0.c:37:19>
numeric_constant '0'	 [LeadingSpace]	Loc=<./tmp/code_0.c:37:21>
comma ','		Loc=<./tmp/code_0.c:37:22>
sizeof 'sizeof'	 [LeadingSpace]	Loc=<./tmp/code_0.c:37:24>
l_paren '('		Loc=<./tmp/code_0.c:37:30>
struct 'struct'		Loc=<./tmp/code_0.c:37:31>
identifier 'vda_context'	 [LeadingSpace]	Loc=<./tmp/code_0.c:37:38>
r_paren ')'		Loc=<./tmp/code_0.c:37:49>
r_paren ')'		Loc=<./tmp/code_0.c:37:50>
semi ';'		Loc=<./tmp/code_0.c:37:51>
identifier 'vda_ctx'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:39:5>
arrow '->'		Loc=<./tmp/code_0.c:39:12>
identifier 'width'		Loc=<./tmp/code_0.c:39:14>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:39:20>
identifier 'avctx'	 [LeadingSpace]	Loc=<./tmp/code_0.c:39:22>
arrow '->'		Loc=<./tmp/code_0.c:39:27>
identifier 'width'		Loc=<./tmp/code_0.c:39:29>
semi ';'		Loc=<./tmp/code_0.c:39:34>
identifier 'vda_ctx'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:41:5>
arrow '->'		Loc=<./tmp/code_0.c:41:12>
identifier 'height'		Loc=<./tmp/code_0.c:41:14>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:41:21>
identifier 'avctx'	 [LeadingSpace]	Loc=<./tmp/code_0.c:41:23>
arrow '->'		Loc=<./tmp/code_0.c:41:28>
identifier 'height'		Loc=<./tmp/code_0.c:41:30>
semi ';'		Loc=<./tmp/code_0.c:41:36>
identifier 'vda_ctx'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_0.c:43:5>
arrow '->'		Loc=<./tmp/code_0.c:43:12>
identifier 'format'		Loc=<./tmp/code_0.c:43:14>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_0.c:43:21>
char_constant ''avc1''	 [LeadingSpace]	Loc=<./tmp/code_0.c:43:23>
semi ';'		Loc=<./tmp/code_0.c:43:29>
